name,link,min_salary,max_salary,currency,employer,source
Backend-разработчик (Python),https://hh.ru/vacancy/38525314?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,150000,,руб.,ООО Север Авто М,hh.ru
Python Developer,https://hh.ru/vacancy/38448140?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,130000,руб.,AmazingHiring,hh.ru
Разработчик (Python),https://hh.ru/vacancy/38401769?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,120000,170000,руб.,ООО Лаборатория Наносемантика,hh.ru
Python middle developer,https://hh.ru/vacancy/36449432?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,120000,160000,руб.,BestDoctor,hh.ru
Python developer (м. Дмитровская),https://hh.ru/vacancy/39017773?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,200000,руб.,Star-staff,hh.ru
Python разработчик,https://hh.ru/vacancy/39085066?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Яндекс,hh.ru
Программист C++/Python,https://hh.ru/vacancy/37817365?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,100000,180000,руб.,ООО АМИКОН,hh.ru
Python (Django) developer,https://hh.ru/vacancy/38602900?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,220000,руб.,evrone.ru,hh.ru
Research Python developer - RiskEngine,https://hh.ru/vacancy/38635899?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,220000,,руб.,Deutsche Bank Technology Center,hh.ru
Разработчик Python,https://hh.ru/vacancy/38430869?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ГК «ХайТэк»,hh.ru
"Разработчик автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/38036578?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,3000,,USD,NetworkOptix,hh.ru
Senior Python Developer,https://hh.ru/vacancy/38650531?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,180000,200000,руб.,ООО Хантфлоу,hh.ru
Python Developer,https://hh.ru/vacancy/39055532?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,Elect Hunter,hh.ru
Программист Python,https://hh.ru/vacancy/38935769?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО Север,hh.ru
Web-разработчик на Python,https://hh.ru/vacancy/37757725?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,140000,,руб.,ЭргоСОЛО,hh.ru
Программист Python,https://hh.ru/vacancy/34608956?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,ООО Сервионика,hh.ru
Программист С++/Python (встраиваемые системы),https://hh.ru/vacancy/38517047?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,100000,,руб.,"Цифровые решения, НПП",hh.ru
Python developer / Питон разработчик - партнер по проектам,https://hh.ru/vacancy/39085945?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,50000,200000,руб.,IT Exclusive,hh.ru
Python разработчик (middle),https://hh.ru/vacancy/38502449?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,80000,150000,руб.,ООО Строительный Двор,hh.ru
Backend-разработчик Python + Django (Middle/Senior),https://hh.ru/vacancy/39025860?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,120000,200000,руб.,Zonesmart,hh.ru
Главный специалист/Разработчик Python,https://hh.ru/vacancy/39088377?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82%20Python,,,,"ВСК, САО",hh.ru
